U,V,NO1,NO2,NO3,NO4,NO5,NO6,NO7,NO8,NO9,NO10,NO11,NO12
0.95,0.9675,122.9,154.9,156.9,118.9,141.9,154.9,107.9,139.9,143.9,133.9,111.9,149.9
0.85,0.9675,110.9,138.9,147.9,104.9,131.9,141.9,99.9,125.9,133.9,120.9,100.9,139.9
0.75,0.9675,108.9,130.9,136.9,94.9,121.9,133.9,89.9,116.9,128.9,111.9,89.9,128.9
0.65,0.9675,104.9,126.9,132.9,93.9,114.9,128.9,88.9,111.9,123.9,106.9,83.9,127.9
0.55,0.9675,102.9,126.9,130.9,92.9,114.9,125.9,86.9,109.9,120.9,102.9,83.9,126.9
0.45,0.9675,102.9,125.9,132.9,88.9,114.9,129.9,88.9,111.9,119.9,104.9,87.9,127.9
0.35,0.9675,106.9,129.9,133.9,92.9,116.9,132.9,91.9,115.9,120.9,106.9,87.9,130.9
0.25,0.9675,110.9,131.9,141.9,99.9,125.9,139.9,98.9,122.9,129.9,115.9,92.9,139.9
0.15,0.9675,122.9,144.9,150.9,106.9,134.9,151.9,108.9,132.9,137.9,123.9,107.9,144.9
0.05,0.9675,124.9,146.9,152.9,116.9,137.9,149.9,108.9,134.9,139.9,131.9,101.9,147.9
0.95,0.855,112.9,128.9,133.9,96.9,118.9,130.9,101.9,116.9,119.9,107.9,89.9,130.9
0.85,0.855,98.9,114.9,121.9,83.9,104.9,116.9,85.9,105.9,109.9,93.9,76.9,118.9
0.75,0.855,90.9,106.9,108.9,72.9,97.9,109.9,78.9,95.9,104.9,87.9,66.9,106.9
0.65,0.855,87.9,99.9,102.9,69.9,90.9,101.9,73.9,92.9,98.9,82.9,62.9,105.9
0.55,0.855,86.9,99.9,100.9,66.9,91.9,102.9,74.9,89.9,95.9,80.9,62.9,102.9
0.45,0.855,85.9,99.9,105.9,67.9,91.9,102.9,73.9,90.9,94.9,80.9,60.9,105.9
0.35,0.855,86.9,102.9,106.9,70.9,92.9,104.9,74.9,90.9,98.9,84.9,65.9,108.9
0.25,0.855,91.9,105.9,114.9,74.9,98.9,109.9,80.9,96.9,105.9,92.9,71.9,112.9
0.15,0.855,102.9,115.9,122.9,82.9,107.9,120.9,90.9,104.9,116.9,98.9,81.9,122.9
0.05,0.855,104.9,117.9,122.9,89.9,110.9,122.9,92.9,111.9,118.9,101.9,83.1,133.9
0.95,0.7425,104.9,132.9,134.9,100.9,121.9,129.9,94.9,118.9,122.9,111.9,94.9,130.9
0.85,0.7425,95.9,117.9,124.9,88.9,111.9,121.9,88.9,107.9,112.9,103.9,82.9,120.9
0.75,0.7425,91.9,110.9,113.9,81.9,103.9,112.9,78.9,99.9,106.9,94.9,76.9,111.9
0.65,0.7425,91.9,105.9,110.9,78.9,97.9,107.9,78.9,96.9,100.9,93.9,71.9,109.9
0.55,0.7425,87.9,107.9,109.9,77.9,95.9,109.9,76.9,94.9,98.9,91.9,74.9,110.9
0.45,0.7425,86.9,105.9,111.9,76.9,97.9,110.9,78.9,98.9,101.9,89.9,74.9,108.9
0.35,0.7425,90.9,109.9,112.9,77.9,101.9,110.9,81.9,100.9,103.9,90.9,79.9,110.9
0.25,0.7425,93.9,109.9,120.9,84.9,103.9,115.9,85.9,102.9,107.9,96.9,80.9,118.9
0.15,0.7425,105.9,120.9,126.9,88.9,113.9,124.9,92.9,108.9,116.9,102.9,89.9,120.9
0.05,0.7425,107.9,123.9,126.9,95.9,116.9,130.9,92.9,112.9,119.9,109.9,92.4,129.9
0.95,0.63,89.9,103.9,106.9,76.9,95.9,105.9,80.9,91.9,98.9,82.9,69.9,108.9
0.85,0.63,77.9,92.9,96.9,68.9,83.9,94.9,67.9,81.9,88.9,73.9,58.9,99.9
0.75,0.63,73.9,86.9,89.9,59.9,79.9,92.9,63.9,76.9,82.9,67.9,50.9,90.9
0.65,0.63,70.9,81.9,84.9,58.9,74.9,86.9,58.9,74.9,78.9,65.9,47.9,87.9
0.55,0.63,70.9,81.9,79.9,57.9,75.9,85.9,57.9,72.9,78.9,62.9,47.9,85.9
0.45,0.63,69.4,80.9,84.9,56.9,75.9,84.9,58.9,74.9,79.9,63.9,47.9,87.9
0.35,0.63,70.9,81.9,86.9,57.9,77.9,87.9,61.9,76.9,80.9,66.9,51.9,88.9
0.25,0.63,72.9,82.9,92.9,60.9,81.9,90.9,63.9,77.9,82.9,69.9,54.9,90.9
0.15,0.63,83.9,89.9,101.9,65.9,88.9,99.9,71.9,86.9,91.9,78.9,62.9,95.9
0.05,0.63,85.9,91.9,103.9,69.9,89.9,99.9,73.9,86.9,95.9,80.9,64.3,102.9
0.95,0.5175,71.9,92.9,95.9,68.9,87.9,92.9,65.9,81.9,87.9,73.9,57.9,99.9
0.85,0.5175,65.9,82.9,87.9,58.9,78.9,84.9,55.9,71.9,77.9,64.9,49.9,87.9
0.75,0.5175,63.9,76.9,81.9,56.9,72.9,82.9,50.9,66.9,73.9,59.9,44.9,84.9
0.65,0.5175,61.9,73.9,77.9,52.9,69.9,79.9,49.9,64.9,72.9,56.9,43.9,80.9
0.55,0.5175,59.9,72.9,76.9,51.9,67.9,78.9,48.9,64.9,71.9,54.9,44.9,79.9
0.45,0.5175,60.9,72.9,77.9,50.9,68.9,77.9,49.9,64.9,71.9,53.9,43.9,78.9
0.35,0.5175,61.9,73.9,81.9,52.9,68.9,78.9,51.9,67.9,70.9,55.9,44.9,80.9
0.25,0.5175,62.9,74.9,84.9,53.9,71.9,83.9,53.9,71.9,71.9,63.9,47.9,84.9
0.15,0.5175,68.9,81.9,88.9,59.9,76.9,87.9,57.9,74.9,77.9,65.9,52.9,84.9
0.05,0.5175,69.9,83.9,90.9,60.9,78.9,90.9,55.9,68.9,80.9,66.9,54.3,87.9
0.95,0.405,56.9,66.9,71.9,47.9,65.9,70.9,48.9,58.9,63.9,50.9,38.9,73.9
0.85,0.405,49.2,61.9,63.9,41.9,57.9,65.9,39.9,50.9,56.9,46.9,32.9,67.9
0.75,0.405,47.9,58.9,58.9,37.9,55.9,63.9,36.9,47.9,52.9,42.9,31.9,64.9
0.65,0.405,45.9,58.9,58.9,36.9,51.9,61.9,36.9,45.9,51.9,40.9,28.9,60.9
0.55,0.405,44.6,57.9,57.9,35.9,51.9,59.9,35.9,44.9,53.7,39.9,28.9,59.9
